column,time,segment_id,is_expected_event,total_psp,predicted_source_psp,burst_only_psp,unlabelled_psp,predicted_without_burst_crosses,burst_only_crosses,classification,contributor_count,diagnostic_label,sentence_index,phase,step,decoded_correct
14,0.004999999999999893,709,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
26,0.004999999999999893,1590,False,1.0001408231000364,0.0,1.0001408231000364,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
22,0.11738186306423626,711,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
20,0.17293741861979162,712,False,1.0001339352033576,0.0,1.0001339352033576,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
36,0.2284929741753472,713,False,1.0001339352033576,0.0,1.0001339352033576,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
86,0.2840485297309028,714,False,1.0001339352033576,0.0,1.0001339352033576,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
12,0.11499999999999755,3,True,0.9999875742488296,0.0,0.9999875742488296,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
74,0.3949999999999916,716,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
7,0.4499999999999904,717,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
17,0.5062707519531144,718,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
90,0.004999999999999893,1336,False,1.000078878138213,0.0,1.000078878138213,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
1,0.0616700575086806,1337,False,1.000078878138213,0.0,1.000078878138213,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
53,0.17278116861979176,1339,False,1.0000788781382262,0.0,1.0000788781382262,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
18,0.22833672417534734,1340,False,1.0000788781382262,0.0,1.0000788781382262,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
31,0.2838922797309029,1341,False,1.0000788781382262,0.0,1.0000788781382262,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
94,0.3394478352864583,1342,False,1.000078878138213,0.0,1.000078878138213,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
81,0.4499999999999904,1344,False,1.000078878138213,0.0,1.000078878138213,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
48,0.5061145019531141,1345,False,1.0000788781381833,0.0,1.0000788781381833,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
4,0.061522352430555705,1591,False,1.0001408231000364,0.0,1.0001408231000364,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
69,0.11707790798611128,1592,False,1.0001408231000364,0.0,1.0001408231000364,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
52,0.17263346354166664,1593,False,1.0001408231000193,0.0,1.0001408231000193,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
67,0.22818901909722222,1594,False,1.0001408231000193,0.0,1.0001408231000193,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
63,0.2837445746527778,1595,False,1.0001408231000193,0.0,1.0001408231000193,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
39,0.39485568576388896,1597,False,1.0001408231000364,0.0,1.0001408231000364,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
40,0.4499999999999904,1598,False,1.0001408231000364,0.0,1.0001408231000364,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
51,0.5059667968749892,1599,False,1.0001408231000053,0.0,1.0001408231000053,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
78,0.004999999999999893,1,True,0.9999875742488296,0.0,0.9999875742488296,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
23,0.05999999999999872,2,True,0.9999875742488296,0.0,0.9999875742488296,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
57,0.17176920572916643,4,True,0.9999875742488091,0.0,0.9999875742488091,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
68,0.39399142795138875,8,True,0.9999875742488296,0.0,0.9999875742488296,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
5,0.006589355468749947,11,True,1.0000198739912305,0.4989253167418286,0.5010945572494018,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
50,0.11770046657986111,13,True,1.0000198739912305,0.4989253167418286,0.5010945572494018,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
83,0.22881157769097205,15,True,1.0000198739912152,0.49892531674182033,0.5010945572493949,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
94,0.2284929741753472,633,False,1.0001339352033576,0.500066967601678,0.5000669676016796,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
20,0.23925469292534718,623,False,1.0000064289344415,0.0,1.0000064289344415,0.0,False,True,burst-only,5,nonpaper diagnostic,1,cue,2,
79,0.4499999999999904,19,True,1.0000198739912305,0.4989253167418286,0.5010945572494018,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
1,0.01174560546874992,1522,False,1.000027892317259,0.16667131538620983,0.8333565769310491,0.0,False,False,burst-assisted,6,nonpaper diagnostic,1,cue,2,
78,0.004999999999999893,629,False,1.000133935203373,0.5000669676016865,0.5000669676016865,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
75,0.06182630750868068,630,False,1.000133935203373,0.5000669676016865,0.5000669676016865,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
17,0.11738186306423626,631,False,1.000133935203373,0.5000669676016865,0.5000669676016865,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
29,0.17293741861979162,632,False,1.0001339352033576,0.500066967601678,0.5000669676016796,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
80,0.2840485297309028,634,False,1.0001339352033576,0.500066967601678,0.5000669676016796,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
44,0.33960408528645836,635,False,1.000133935203373,0.5000669676016865,0.5000669676016865,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
23,0.3949999999999916,636,False,1.000133935203373,0.5000669676016865,0.5000669676016865,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
40,0.4499999999999904,637,False,1.000133935203373,0.5000669676016865,0.5000669676016865,0.0,False,False,burst-assisted,10,nonpaper diagnostic,1,cue,2,
77,0.3999999999999915,1528,False,1.000027892317259,0.16667131538620983,0.8333565769310491,0.0,False,False,burst-assisted,6,nonpaper diagnostic,1,cue,2,
